"Sample Number","Language","Time","Number of Recursive Calls","Number of Transitions","Number of Compares"
1,java 1.8.0_25,00.270,1,0,0
2,java 1.8.0_25,00.262,1,0,0
3,java 1.8.0_25,00.265,4,3,5
4,java 1.8.0_25,00.314,4,4,8
5,java 1.8.0_25,00.435,4,4,11
6,java 1.8.0_25,00.412,4,4,10
7,java 1.8.0_25,00.448,7,9,18
8,java 1.8.0_25,00.466,10,11,25
9,java 1.8.0_25,00.476,13,17,30
10,java 1.8.0_25,00.448,13,19,35
11,java 1.8.0_25,00.439,13,18,40
12,java 1.8.0_25,00.415,13,19,41
13,java 1.8.0_25,00.444,13,20,46
14,java 1.8.0_25,00.436,13,24,53
15,java 1.8.0_25,00.576,13,28,54
16,java 1.8.0_25,00.453,13,28,61
17,java 1.8.0_25,00.476,13,25,64
18,java 1.8.0_25,00.452,13,29,65
19,java 1.8.0_25,00.466,16,30,73
20,java 1.8.0_25,00.414,19,34,82
21,java 1.8.0_25,00.451,22,42,87
22,java 1.8.0_25,00.427,25,42,99
23,java 1.8.0_25,00.410,28,49,106
24,java 1.8.0_25,00.580,31,53,114
25,java 1.8.0_25,00.462,34,64,121
26,java 1.8.0_25,00.453,37,63,128
27,java 1.8.0_25,00.422,40,67,135
28,java 1.8.0_25,00.424,40,66,141
29,java 1.8.0_25,00.424,40,70,148
30,java 1.8.0_25,00.420,40,67,152
31,java 1.8.0_25,00.447,40,72,160
32,java 1.8.0_25,00.491,40,72,166
33,java 1.8.0_25,00.485,40,75,174
34,java 1.8.0_25,00.444,40,81,178
35,java 1.8.0_25,00.440,40,81,180
36,java 1.8.0_25,00.408,40,90,189
37,java 1.8.0_25,00.405,40,83,195
38,java 1.8.0_25,00.414,40,92,201
39,java 1.8.0_25,00.415,40,93,206
40,java 1.8.0_25,00.408,40,90,211
41,java 1.8.0_25,00.415,40,99,219
42,java 1.8.0_25,00.417,40,97,222
43,java 1.8.0_25,00.431,40,97,231
44,java 1.8.0_25,00.437,40,98,235
45,java 1.8.0_25,00.445,40,101,239
46,java 1.8.0_25,00.405,40,105,245
47,java 1.8.0_25,00.421,40,103,252
48,java 1.8.0_25,00.423,40,108,253
49,java 1.8.0_25,00.433,40,115,262
50,java 1.8.0_25,00.452,40,113,266
51,java 1.8.0_25,00.435,40,98,273
52,java 1.8.0_25,00.425,40,111,276
53,java 1.8.0_25,00.410,40,121,280
54,java 1.8.0_25,00.412,40,126,284
55,java 1.8.0_25,00.407,43,132,293
56,java 1.8.0_25,00.413,46,137,308
57,java 1.8.0_25,00.390,49,129,315
58,java 1.8.0_25,00.483,52,138,323
59,java 1.8.0_25,00.467,55,140,334
60,java 1.8.0_25,00.466,58,155,343
61,java 1.8.0_25,00.480,61,162,358
62,java 1.8.0_25,00.491,64,161,358
63,java 1.8.0_25,00.507,67,166,373
64,java 1.8.0_25,00.516,70,163,383
65,java 1.8.0_25,00.500,73,186,390
66,java 1.8.0_25,00.468,76,182,404
67,java 1.8.0_25,00.465,79,189,411
