"Sample Number","Language","Time","Number of Partitioning Stages","Number of Exchanges","Number of Compares"
1,java 1.8.0_25,00.241,0,0,0
2,java 1.8.0_25,00.243,0,1,1
3,java 1.8.0_25,00.253,0,0,0
4,java 1.8.0_25,00.249,0,2,2
5,java 1.8.0_25,00.241,0,6,6
6,java 1.8.0_25,00.258,0,8,8
7,java 1.8.0_25,00.241,0,9,9
8,java 1.8.0_25,00.279,0,16,16
9,java 1.8.0_25,00.266,0,13,13
10,java 1.8.0_25,00.247,0,27,27
11,java 1.8.0_25,00.254,3,20,22
12,java 1.8.0_25,00.263,4,20,31
13,java 1.8.0_25,00.250,3,15,19
14,java 1.8.0_25,00.291,3,19,37
15,java 1.8.0_25,00.262,5,24,36
16,java 1.8.0_25,00.301,5,40,41
17,java 1.8.0_25,00.254,4,21,42
18,java 1.8.0_25,00.268,9,30,50
19,java 1.8.0_25,00.253,6,43,59
20,java 1.8.0_25,00.277,10,25,42
21,java 1.8.0_25,00.239,8,42,52
22,java 1.8.0_25,00.248,12,39,73
23,java 1.8.0_25,00.258,12,36,55
24,java 1.8.0_25,00.255,15,38,70
25,java 1.8.0_25,00.299,11,44,75
26,java 1.8.0_25,00.255,13,50,67
27,java 1.8.0_25,00.305,15,50,69
28,java 1.8.0_25,00.255,11,48,60
29,java 1.8.0_25,00.314,13,81,103
30,java 1.8.0_25,00.253,16,89,134
31,java 1.8.0_25,00.269,22,51,68
32,java 1.8.0_25,00.275,14,61,121
33,java 1.8.0_25,00.254,17,75,92
34,java 1.8.0_25,00.265,20,78,128
35,java 1.8.0_25,00.256,18,59,107
36,java 1.8.0_25,00.261,22,79,168
37,java 1.8.0_25,00.266,25,82,140
38,java 1.8.0_25,00.253,26,69,120
39,java 1.8.0_25,00.255,22,76,134
40,java 1.8.0_25,00.295,23,101,139
41,java 1.8.0_25,00.263,24,95,163
42,java 1.8.0_25,00.302,30,82,170
43,java 1.8.0_25,00.254,28,87,115
44,java 1.8.0_25,00.309,36,82,130
45,java 1.8.0_25,00.255,28,79,145
46,java 1.8.0_25,00.275,33,77,168
47,java 1.8.0_25,00.401,33,120,173
48,java 1.8.0_25,00.292,38,93,156
49,java 1.8.0_25,00.332,24,109,196
50,java 1.8.0_25,00.305,38,113,206
51,java 1.8.0_25,00.286,33,122,207
52,java 1.8.0_25,00.273,40,132,183
53,java 1.8.0_25,00.305,39,112,175
54,java 1.8.0_25,00.349,35,122,278
55,java 1.8.0_25,00.357,36,115,232
56,java 1.8.0_25,00.267,39,128,215
57,java 1.8.0_25,00.361,49,137,227
58,java 1.8.0_25,00.290,46,116,318
59,java 1.8.0_25,00.324,52,143,243
60,java 1.8.0_25,00.320,42,139,294
61,java 1.8.0_25,00.354,46,134,267
62,java 1.8.0_25,00.307,54,144,229
63,java 1.8.0_25,00.377,49,154,234
64,java 1.8.0_25,00.296,51,151,226
65,java 1.8.0_25,00.380,56,147,281
66,java 1.8.0_25,00.272,58,128,245
67,java 1.8.0_25,00.362,57,141,310
68,java 1.8.0_25,00.306,50,121,312
69,java 1.8.0_25,00.358,57,141,338
70,java 1.8.0_25,00.300,65,172,274
71,java 1.8.0_25,00.362,60,163,240
72,java 1.8.0_25,00.270,57,145,395
73,java 1.8.0_25,00.358,54,158,357
74,java 1.8.0_25,00.329,67,155,279
75,java 1.8.0_25,00.344,63,175,290
76,java 1.8.0_25,00.273,66,177,295
77,java 1.8.0_25,00.313,67,175,309
78,java 1.8.0_25,00.315,67,166,266
79,java 1.8.0_25,00.329,66,175,327
80,java 1.8.0_25,00.281,72,205,327
81,java 1.8.0_25,00.402,63,186,379
82,java 1.8.0_25,00.311,67,178,400
83,java 1.8.0_25,00.303,64,193,370
84,java 1.8.0_25,00.390,69,184,320
85,java 1.8.0_25,00.320,77,181,358
86,java 1.8.0_25,00.275,74,188,351
87,java 1.8.0_25,00.361,85,199,403
88,java 1.8.0_25,00.272,85,198,439
89,java 1.8.0_25,00.322,84,217,370
90,java 1.8.0_25,00.371,81,208,398
91,java 1.8.0_25,00.357,84,212,507
92,java 1.8.0_25,00.345,90,247,442
93,java 1.8.0_25,00.352,95,211,392
94,java 1.8.0_25,00.278,95,248,369
95,java 1.8.0_25,00.349,89,233,435
96,java 1.8.0_25,00.357,90,218,386
97,java 1.8.0_25,00.436,98,209,481
98,java 1.8.0_25,00.294,90,227,501
99,java 1.8.0_25,00.353,94,220,577
100,java 1.8.0_25,00.305,97,260,495
101,java 1.8.0_25,00.278,110,248,379
102,java 1.8.0_25,00.335,100,233,462
103,java 1.8.0_25,00.390,101,264,504
104,java 1.8.0_25,00.377,98,260,486
105,java 1.8.0_25,00.512,94,233,564
106,java 1.8.0_25,00.405,116,242,412
107,java 1.8.0_25,00.610,110,226,519
108,java 1.8.0_25,00.514,111,268,449
109,java 1.8.0_25,00.370,106,278,480
110,java 1.8.0_25,00.355,102,253,498
111,java 1.8.0_25,00.470,113,295,443
112,java 1.8.0_25,00.521,101,291,588
113,java 1.8.0_25,00.492,114,248,556
114,java 1.8.0_25,00.602,105,265,440
115,java 1.8.0_25,00.380,119,262,458
116,java 1.8.0_25,00.490,105,288,611
117,java 1.8.0_25,00.404,117,250,513
118,java 1.8.0_25,00.441,118,277,507
119,java 1.8.0_25,00.467,111,297,584
120,java 1.8.0_25,00.568,113,277,541
121,java 1.8.0_25,00.558,125,319,607
122,java 1.8.0_25,00.554,118,304,625
123,java 1.8.0_25,00.586,110,301,490
124,java 1.8.0_25,00.546,127,315,660
125,java 1.8.0_25,00.590,134,308,512
126,java 1.8.0_25,00.440,126,309,658
